kind,city,state,county,latitude,longitude,population
city,Skagway,AK,,59.464431,-135.275720,
city,Skwentna,AK,,61.888689,-151.199994,
city,Slana,AK,,62.617860,-143.522398,
city,Sleetmute,AK,,61.653861,-157.103020,
city,Soldotna,AK,,60.485318,-151.069014,
city,South Lakes,AK,,61.587561,-149.315544,
city,South Naknek,AK,,58.675534,-156.994126,
city,South Van Horn,AK,,64.809734,-147.787752,
city,St. George,AK,,56.571044,-169.659940,
city,St. Mary's,AK,,62.062775,-163.244257,
city,St. Michael,AK,,63.458499,-162.134486,
city,St. Paul,AK,,57.179076,-170.322824,
city,Stebbins,AK,,63.473394,-162.259981,
city,Steele Creek,AK,,64.925613,-147.435058,
city,Sterling,AK,,60.540148,-150.805260,
city,Stevens Village,AK,,66.023711,-149.080307,
city,Stony River,AK,,61.792010,-156.590509,
city,Sunrise,AK,,60.870068,-149.467798,
city,Susitna,AK,,61.546558,-150.588063,
city,Susitna North,AK,,62.153515,-149.728432,
city,Sutton-Alpine,AK,,61.741436,-148.874181,
city,Takotna,AK,,62.982698,-156.083829,
city,Talkeetna,AK,,62.309515,-149.923928,
city,Tanacross,AK,,63.328691,-143.486599,
city,Tanaina,AK,,61.657244,-149.427740,
city,Tanana,AK,,65.184004,-152.055102,
city,Tatitlek,AK,,60.894438,-146.668561,
city,Tazlina,AK,,62.050272,-145.443031,
city,Teller,AK,,65.252359,-166.352133,
city,Tenakee Springs,AK,,57.790054,-135.135446,
city,Tetlin,AK,,63.181865,-142.504418,
city,Thorne Bay,AK,,55.667027,-132.535653,
city,Togiak,AK,,59.049859,-160.397583,
city,Tok,AK,,63.328894,-143.037871,
city,Toksook Bay,AK,,60.527412,-165.106923,
city,Tolsona,AK,,62.067821,-146.120310,
city,Tonsina,AK,,61.530342,-145.110079,
city,Trapper Creek,AK,,62.415358,-150.407836,
city,Tuluksak,AK,,61.104350,-160.937231,
city,Tuntutuliak,AK,,60.410269,-162.669682,
city,Tununak,AK,,60.607130,-165.128009,
city,Twin Hills,AK,,59.081816,-160.280615,
city,Two Rivers,AK,,64.890845,-147.089884,
city,Tyonek,AK,,61.099425,-151.338909,
city,Ugashik,AK,,57.647380,-156.994926,
city,Unalakleet,AK,,63.894206,-160.796775,
city,Unalaska,AK,,53.910255,-166.529029,
city,Upper Kalskag,AK,,61.540270,-160.348983,
city,Utqiaġvik,AK,,71.253861,-156.798246,
city,Valdez,AK,,61.083621,-146.317179,
city,Venetie,AK,,67.020691,-146.374273,
city,Wainwright,AK,,70.658232,-159.985214,
city,Wales,AK,,65.613232,-168.068313,
city,Wasilla,AK,,61.581136,-149.460790,
city,Whale Pass,AK,,56.082115,-133.067469,
city,White Mountain,AK,,64.682359,-163.412753,
city,Whitestone,AK,,64.152772,-145.906413,
city,Whitestone Logging Camp,AK,,58.058337,-135.409332,
city,Whittier,AK,,60.777318,-148.663713,
city,Willow,AK,,61.886957,-149.620229,
city,Willow Creek,AK,,61.830234,-145.198597,
city,Wiseman,AK,,67.480919,-150.154080,
city,Womens Bay,AK,,57.687002,-152.684656,
city,Wrangell city and,AK,,56.180779,-132.026788,
city,Yakutat,AK,,59.563588,-139.606191,
county,,AK,Aleutians East,55.245044,-161.997477,
